station,temp_diff,lat,lon
4,3.847116883116883,40.4238822954166,-3.71225674228054
8,3.9084675324675326,40.42155325594907,-3.6823158374736376
16,3.6342857142857143,40.44004565444045,-3.639242187998773
18,4.260862703840084,40.39478247721906,-3.7318355959154657
24,2.9259685863874347,40.419357688955614,-3.747344497717923
35,4.527873114924597,40.41920904641193,-3.703166144124266
36,3.378805194805195,40.40795170856607,-3.6453103529409763
38,3.761796536796537,40.44554393869478,-3.7071302141495996
39,3.7074285714285717,40.47823214954247,-3.7115363640885257
54,3.9013506493506496,40.37301182509155,-3.612139450305921
56,4.153742203742204,40.385033549438035,-3.718767921558988
58,2.149740124740125,40.518070094580324,-3.774610070917239
59,2.882101372756072,40.460725525381555,-3.6163407459790413
102,0.44512578616352205,40.398611092077324,-3.6369444784792737
103,1.0684511434511437,40.349444441624016,-3.7108333915346905
106,0.0,40.441041331993375,-3.7413102998798955
107,1.0917306556408741,40.46159820034982,-3.6579757803890587
108,1.0202702702702704,40.47545389709504,-3.719191261734093
110,3.8782135076252726,40.414418602787244,-3.712101299030919
111,4.3087074829931975,40.421468049131754,-3.6816773349979406
112,4.698545454545455,40.39529016107397,-3.6677640448721003
113,5.063688311688312,40.39529016107397,-3.6677640448721003
114,4.885224719101124,40.39136237658789,-3.6989396588349504
115,6.226597402597403,40.39136237658789,-3.6989396588349504
